0	1	0.963	0.019	0.019
1	3	0.963	0.019	0.019
2	5	0.526	0.368	0.105
3	2	0.019	0.963	0.019
4	4	0.019	0.963	0.019
5	7	0.019	0.963	0.019
6	6	0.963	0.019	0.019
7	8	0.019	0.963	0.019
8	9	0.019	0.963	0.019
9	10	0.293	0.353	0.354
10	32	0.963	0.019	0.019
11	33	0.963	0.019	0.019
12	34	0.963	0.019	0.019
13	35	0.019	0.019	0.963
14	20	0.255	0.491	0.255
15	12	0.019	0.963	0.019
16	15	0.019	0.331	0.650
17	29	0.019	0.019	0.963
18	11	0.019	0.963	0.019
19	14	0.019	0.963	0.019
20	13	0.019	0.963	0.019
21	16	0.019	0.019	0.963
22	22	0.019	0.019	0.963
23	17	0.019	0.019	0.963
24	30	0.019	0.019	0.963
25	18	0.019	0.019	0.963
26	23	0.019	0.019	0.963
27	19	0.019	0.963	0.019
28	25	0.963	0.019	0.019
29	26	0.963	0.019	0.019
30	27	0.963	0.019	0.019
31	21	0.963	0.019	0.019
32	28	0.963	0.019	0.019
33	24	0.019	0.019	0.963
34	31	0.019	0.019	0.963
