HDO.ID	Disease.long	Disease	N	mean_ds	SD_ds	Ran_mean_ds	Ran_SD_ds	Utest.pvalue
DOID:10652	Alzheimer's_disease	AD	259	1.26254826254826	0.4907940021095	0.208076518076518	0.049350374170476	2.7282550990477e-91
DOID:3312	Bipolar_disorder	BD	127	1.66141732283465	0.566533211749318	0.124605583392985	0.0227461226893504	1.91496258126456e-44
DOID:12849	Autistic_disorder	AUT	95	1.62105263157895	0.621921308705309	0.095088038277512	0.020031470109065	1.55258777854123e-33
DOID:5419	Schizophrenia	SCH	366	1.26229508196721	0.476343585364821	0.279580476900149	0.0641793642844968	3.81077204936253e-128
DOID:0060041	Autism_Spectrum_Disorder	ASD	97	1.60824742268041	0.621770004217259	0.0973355201499532	0.0203632278132412	3.31741050364879e-34
DOID:1826	Epilepsy_syndrome	Epi	138	1.60869565217391	0.597253844584921	0.131500658761528	0.0271564591909358	5.5491208450771e-48
DOID:1059	Intellectual_Disability	ID	103	1.71844660194175	0.600938412037265	0.103304501323919	0.0198295471374299	2.82715475450255e-36
DOID:10763	Hypertension	HTN	132	1.50757575757576	0.647911643693623	0.126508953168044	0.0292991696551785	4.24689285070883e-46
DOID:12858	Huntington's_disease	HD	43	1.53488372093023	0.549841414769158	0.044399577167019	0.00820223857520508	5.53400114085843e-16
DOID:14330	Parkinson's_disease	PD	108	1.51851851851852	0.633658439812371	0.102015993265993	0.0225505784894046	5.76673583945559e-38
DOID:9255	Frontotemporal_dementia	FTD	81	1.59259259259259	0.666666666666667	0.081317620650954	0.0187179208967685	9.1648363302566e-29
DOID:2377	Multiple_Sclerosis	MS	96	1.48958333333333	0.580286529345935	0.0939261363636363	0.0181012440124356	5.90961415930618e-34
