HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	p.adjusted	q-value
DOID:10652	Alzheimer's_disease	AD	259	DOID:10652	Alzheimer's_disease	AD	259	0	.	.	0	1	larger	.	1	1
DOID:10652	Alzheimer's_disease	AD	259	DOID:3312	Bipolar_disorder	BD	127	-0.249547559530832	.	YES	-2.44895286977119	0.0143272193860997	Smaller	.	0.290741356594506	0.0588507009134401
DOID:10652	Alzheimer's_disease	AD	259	DOID:12849	Autistic_disorder	AUT	95	-0.102817396216147	.	YES	-0.745983925506895	0.455677125368891	Smaller	.	1	0.826577111134267
DOID:10652	Alzheimer's_disease	AD	259	DOID:5419	Schizophrenia	SCH	366	-0.416021672257738	.	YES	-4.22525969047221	2.38665390743116e-05	Smaller	**	0.00229921312541038	0.000465397511949076
DOID:10652	Alzheimer's_disease	AD	259	DOID:0060041	Autism_Spectrum_Disorder	ASD	97	-0.101128179692989	.	YES	-0.603364972829248	0.546265918603275	Smaller	.	1	0.887682117730322
DOID:10652	Alzheimer's_disease	AD	259	DOID:1826	Epilepsy_syndrome	Epi	138	-0.284488456101642	.	YES	-2.82462047338193	0.00473366491056088	Smaller	.	0.124537749666841	0.0252084324841958
DOID:10652	Alzheimer's_disease	AD	259	DOID:1059	Intellectual_Disability	ID	103	-0.0678454985433476	.	YES	0.201666800889762	0.840177218361535	larger	.	1	1
DOID:10652	Alzheimer's_disease	AD	259	DOID:10763	Hypertension	HTN	132	-0.287875309294747	.	YES	-2.99090353768721	0.00278153343676373	Smaller	.	0.0824500091518512	0.0166892006205824
DOID:10652	Alzheimer's_disease	AD	259	DOID:12858	Huntington's_disease	HD	43	-0.0212325480306383	.	YES	-1.90897147418458	0.0562657716373219	Smaller	.	0.903405672247329	0.182863757821296
DOID:10652	Alzheimer's_disease	AD	259	DOID:14330	Parkinson's_disease	PD	108	-0.357835842849467	.	YES	-4.95058858952299	7.3989367181633e-07	Smaller	***	9.50381193436474e-05	1.92372354672246e-05
DOID:10652	Alzheimer's_disease	AD	259	DOID:9255	Frontotemporal_dementia	FTD	81	-0.0628645452174863	.	YES	-0.607207016273101	0.543713536549331	Smaller	.	1	0.887682117730322
