0	1	0.010	0.304	0.010	0.010	0.528	0.139
1	2	0.010	0.010	0.010	0.010	0.817	0.145
2	3	0.010	0.010	0.010	0.507	0.455	0.010
3	4	0.010	0.010	0.010	0.010	0.952	0.010
4	5	0.010	0.952	0.010	0.010	0.010	0.010
5	6	0.010	0.952	0.010	0.010	0.010	0.010
6	7	0.010	0.952	0.010	0.010	0.010	0.010
7	8	0.010	0.010	0.010	0.010	0.952	0.010
8	9	0.010	0.010	0.010	0.404	0.010	0.558
9	11	0.010	0.952	0.010	0.010	0.010	0.010
10	12	0.010	0.952	0.010	0.010	0.010	0.010
11	13	0.010	0.010	0.010	0.010	0.952	0.010
12	14	0.010	0.010	0.010	0.249	0.712	0.010
13	18	0.010	0.010	0.010	0.010	0.952	0.010
14	20	0.010	0.010	0.010	0.010	0.552	0.410
15	22	0.010	0.010	0.010	0.010	0.952	0.010
16	32	0.010	0.010	0.481	0.010	0.010	0.480
17	31	0.010	0.010	0.010	0.010	0.010	0.952
18	10	0.010	0.010	0.010	0.952	0.010	0.010
19	28	0.010	0.010	0.268	0.694	0.010	0.010
20	29	0.010	0.010	0.324	0.638	0.010	0.010
21	33	0.434	0.010	0.010	0.320	0.010	0.218
22	17	0.010	0.952	0.010	0.010	0.010	0.010
23	34	0.309	0.010	0.010	0.457	0.010	0.206
24	15	0.952	0.010	0.010	0.010	0.010	0.010
25	16	0.952	0.010	0.010	0.010	0.010	0.010
26	19	0.952	0.010	0.010	0.010	0.010	0.010
27	21	0.952	0.010	0.010	0.010	0.010	0.010
28	23	0.952	0.010	0.010	0.010	0.010	0.010
29	24	0.010	0.010	0.216	0.746	0.010	0.010
30	26	0.010	0.010	0.952	0.010	0.010	0.010
31	30	0.010	0.010	0.010	0.952	0.010	0.010
32	25	0.010	0.010	0.952	0.010	0.010	0.010
33	27	0.010	0.010	0.010	0.952	0.010	0.010
