ENTREZ.ID	GENE.NAME	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
273	AMPH	0	0	0	0	0	0	0.0364338870893122	0	0	0	0	0	0	0	0	0.0840837222926668	0	0	0	0	0	0	0	0.0596536962675531	0	0	0.0317207648134358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372746788836785	0	0	0	0.547691447764606	0	0	0	0	0	0	0	0.203141802888748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6455	SH3GL1	0	0.0242030799250469	0	0	0	0	0.0503270025423717	0	0	0	0.0338861055512299	0	0	0	0	0.125254542909827	0	0	0	0	0	0	0	0.0530793135732213	0	0	0.0576024524171555	0.0326119302593871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271088029111583	0	0	0	0	0	0.0311976595504717	0	0	0	0	0	0.195139055911796	0	0.0317648353708996	0	0.174350852734035	0	0	0	0	0	0	0	0.0106158627146443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0618066737597615	0	0	0	0	0	0	0	0.0910518298689952	0
1759	DNM1	0	0.0549462371844003	0	0.0536135864849353	0.0353226471508198	0	0.05102155002608	0	0	0	0	0	0	0	0	0.0543926627213933	0	0	0	0	0	0	0	0.0238518254067789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030317803412829	0	0	0	0	0	0	0	0	0	0	0	0.0127472666663201	0	0.269938378632686	0	0	0	0.335527821373845	0	0	0	0	0	0	0	0.0783202209399127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1785	DNM2	0	0	0	0.0329601730178362	0	0	0.0203961670655998	0	0	0	0.0417260340324705	0	0	0	0	0.0880416691571339	0	0.0157252985468097	0	0.0345996326238515	0	0	0	0.112930307805065	0.021856920733534	0	0.0511715956150569	0.0667207632373025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131714001406308	0.116143512672141	0	0	0	0	0	0	0	0	0.0289031877215033	0.0280446782149294	0	0.166292199617643	0	0	0	0.161316459798492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26052	DNM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524840409802352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0697223863510644	0	0	0	0.405437203846584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2060	EPS15	0	0	0	0	0	0	0.0519960287224954	0	0	0	0	0	0	0	0.0406789092092107	0	0	0	0	0	0	0	0	0	0.178530689181218	0	0.0635205880011057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037171997559346	0.0428354484061556	0.0211552596733716	0	0	0	0	0.0733093856927413	0	0	0	0.278758765031381	0	0	0.0182095286923937	0	0	0.0175007521849327	0	0.014138142080559	0.0697259428673196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142079551999158	0	0	0	0.0397590965465954	0	0	0.0385015109512588	0	0
673	BRAF	0	0	0	0	0.0837816268073785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0749823523526491	0	0.0562702878465609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185772753885262	0	0	0	0	0	0	0	0	0	0	0	0.532412382441656	0.131206668309457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102769406853772	0	0	0	0	0	0
1837	DTNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548617642739714	0	0	0	0.119696844880138	0	0	0	0	0	0	0	0.132655436842086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108810982926034	0	0	0	0	0.0902190926120266	0
1821	DRP2	0	0	0	0	0	0	0	0	0	0	0.160255852565776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839744147434224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1756	DMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164371493971919	0	0	0	0	0	0	0	0.32016693792961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0546476617525964	0	0	0	0	0	0	0.394720319371196	0	0	0	0	0	0	0	0	0	0	0	0.0660935869746781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
