Human_Entrez_ID	10090	10116	28985	318829	33169	3702	4530	4896	4932	5141	6239	7165	7227	7955	8364	9031	9544	9598	9606	9615	9913
1742	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1
815	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1
9118	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
6711	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1
816	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1
1740	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0
2904	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
4905	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2902	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1
10458	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1
8927	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
6854	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1
291	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
4741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
1741	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1
9456	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
2752	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2891	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
8831	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
5413	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
4747	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
50944	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1
1267	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
11113	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
5339	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
6853	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1
2890	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
3312	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
