ID	1	2	3
1	1	0	0
2	1	0	0
3	1	0	0
4	1	0	0
5	1	0	0
6	0.882039252583382	0.117960747416618	0
7	0.881255802177399	0.118744197822601	0
8	0.883129600544969	0.116870399455031	0
9	0.721934381066065	0.278065618933935	0
10	0.648524281916186	0	0.351475718083814
11	0.282932438214739	0.480001484917343	0.237066076867919
12	0.200042354681684	0.799957645318316	0
13	0	1	0
14	0.198980701361964	0.188471611243662	0.612547687394373
15	0	0	1
16	0	0.242279487769271	0.757720512230729
17	0	0	1
18	0	1	0
19	0.209904012597204	0.559439024985504	0.230656962417292
20	0	1	0
21	0	0.108817940004527	0.891182059995473
22	0	0	1
23	0	1	0
24	0	1	0
25	0	1	0
26	0	0	1
27	1	0	0
28	1	0	0
29	1	0	0
30	1	0	0
31	0.339525312429624	0.0992443800909863	0.56123030747939
32	0	1	0
33	0	1	0
34	0	0	1
35	0	0	1
