ID	DEGREE	Closeness	Bet	CC	Cl	Clnorm	louvain	SVI	BRIDGE_louvain	BRIDGE_SVI
1	16	0.569	0.438	0.15	1547	1	2	5	0.47302020295799	0.481
3	10	0.559	0.144	0.244	1546	0.999295278365046	2	4	0.445689936314865	0.402465
34	17	0.55	0.304	0.11	1479	0.952078928823115	4	4	0.526505490634352	0.535387058823529
33	12	0.516	0.145	0.197	1387	0.887244538407329	4	1	0.379116323684841	0.546463333333333
9	5	0.516	0.056	0.5	1348	0.859760394644116	4	6	0.419260941446569	0.39217
14	5	0.516	0.046	0.6	1341	0.854827343199436	2	5	0.134888526015725	0.304322
2	9	0.485	0.054	0.333	1223	0.771670190274841	2	5	0.16774538459427	0.208838888888889
32	6	0.541	0.138	0.2	1216	0.766737138830162	3	3	0.577522138728754	0.404213333333333
4	6	0.465	0.012	0.667	1079	0.670190274841438	2	5	0	0.057143333333333
31	4	0.458	0.014	0.5	996	0.61169837914024	4	6	0.375786221877402	0.057145
8	4	0.44	0	1	955	0.582804792107118	2	5	0	0.057145
20	3	0.5	0.032	0.333	953	0.581395348837209	2	5	0.343305441224691	0.39393
24	5	0.393	0.018	0.4	881	0.530655391120507	3	4	0.419260941446569	0.276192
30	4	0.384	0.003	0.667	795	0.470049330514447	4	4	0.375786221877402	0.057145
28	4	0.458	0.022	0.167	794	0.469344608879493	3	4	0.540445474648706	0.3183275
29	3	0.452	0.002	0.333	744	0.434108527131783	3	4	0.649946398369163	0.35606
15	2	0.371	0	1	654	0.370683579985906	4	1	0	0.057145
16	2	0.371	0	1	654	0.370683579985906	4	1	0	0.057145
19	2	0.371	0	1	654	0.370683579985906	4	1	0	0.057145
21	2	0.371	0	1	654	0.370683579985906	4	1	0	0.057145
23	2	0.371	0	1	654	0.370683579985906	4	1	0	0.057145
10	2	0.434	0.001	0	630	0.353770260747005	2	4	0.404502040700491	0.057145
18	2	0.375	0	1	567	0.309372797744891	2	5	0	0.057145
22	2	0.375	0	1	567	0.309372797744891	2	5	0	0.057145
6	4	0.384	0.03	0.5	508	0.267794221282593	1	2	0.375786221877402	0.057145
7	4	0.384	0.03	0.5	508	0.267794221282593	1	2	0.375786221877402	0.057145
13	2	0.371	0	1	495	0.258632840028189	2	5	0	0.057145
5	3	0.379	0.001	0.667	474	0.243833685694151	1	2	0.403257863953151	0.057143333333333
11	3	0.379	0.001	0.667	474	0.243833685694151	1	2	0.403257863953151	0.057143333333333
27	2	0.363	0	1	470	0.241014799154334	4	4	0	0.057145
12	1	0.367	0	NaN	351	0.157152924594785	2	2	0	0.05714
26	3	0.375	0.004	0.333	278	0.105708245243129	3	3	0	0.057143333333333
25	3	0.375	0.002	0.333	257	0.090909090909091	3	3	0	0.057143333333333
17	2	0.284	0	1	128	0	1	2	0	0.057145
